127.0.0.1 - - [25/Jun/2021:18:28:29 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:28:36 -0300] "GET /gerenciador/lista-empresas HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:28:40 -0300] "GET /gerenciador/entrada?acao=lista-empresa HTTP/1.1" 200 543
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:28:40 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:28:41 -0300] "GET /gerenciador/removeEmpresa?id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:28:41 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:28:46 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:28:51 -0300] "GET /gerenciador/removeEmpresa?id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:28:51 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:40:02 -0300] "GET /gerenciador/entrada HTTP/1.1" 500 1261
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:40:03 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:40:19 -0300] "GET /gerenciador/ HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:41:44 -0300] "GET /gerenciador/entrada?acao=lista-empresas HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:41:52 -0300] "GET /gerenciador/entrada?acao=lista-empresas HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:42:02 -0300] "GET /gerenciador/entrada?acao=lista-empresa HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:42:18 -0300] "GET /gerenciador/entrada?acao=lista-empresas HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:42:20 -0300] "GET /gerenciador/entrada?acao=lista-empresas HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:42:21 -0300] "GET /gerenciador/entrada?acao=lista-empresas HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:42:21 -0300] "GET /gerenciador/entrada?acao=lista-empresas HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:42:21 -0300] "GET /gerenciador/entrada?acao=lista-empresas HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:42:21 -0300] "GET /gerenciador/entrada?acao=lista-empresas HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:42:22 -0300] "GET /gerenciador/entrada?acao=lista-empresas HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:42:29 -0300] "GET /gerenciador/entrada?acao=lista-empresas HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:42:31 -0300] "GET /gerenciador/entrada?acao=lista-empresas HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:42:31 -0300] "GET /gerenciador/entrada?acao=lista-empresas HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:42:32 -0300] "GET /gerenciador/entrada?acao=lista-empresas HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:42:32 -0300] "GET /gerenciador/entrada?acao=lista-empresas HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:42:32 -0300] "GET /gerenciador/entrada?acao=lista-empresas HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:42:32 -0300] "GET /gerenciador/entrada?acao=lista-empresas HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:42:33 -0300] "GET /gerenciador/entrada?acao=lista-empresas HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:42:33 -0300] "GET /gerenciador/entrada?acao=lista-empresas HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:42:43 -0300] "GET /gerenciador/entrada?acao=lista-empresas HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:42:49 -0300] "GET /gerenciador/entrada?acao=remove-empresa&id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:42:49 -0300] "GET /gerenciador/entrada?acao=lista-empresas HTTP/1.1" 200 403
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:45:08 -0300] "GET /gerenciador/entrada?acao=lista-empresas HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:45:10 -0300] "GET /gerenciador/entrada?acao=mostra-empresa&id=1 HTTP/1.1" 200 418
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:45:13 -0300] "POST /gerenciador/alteraEmpresa HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:51:10 -0300] "GET /gerenciador/entrada?acao=lista-empresa HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:51:12 -0300] "GET /gerenciador/entrada?acao=lista-empresas HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:51:16 -0300] "GET /gerenciador/entrada?acao=remove-empresa&id=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:51:16 -0300] "GET /gerenciador/entrada?acao=lista-empresas HTTP/1.1" 200 402
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:51:18 -0300] "GET /gerenciador/entrada?acao=mostra-empresa&id=1 HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:51:21 -0300] "POST /gerenciador/entrada?acao=altera-empresa HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:51:21 -0300] "GET /gerenciador/entrada?acao=lista-empresas HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:51:50 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:52:06 -0300] "POST /gerenciador/entrada?acao=lista-empresas HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:56:13 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 391
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:56:19 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 391
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:56:25 -0300] "POST /gerenciador/entrada HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:18:56:25 -0300] "GET /gerenciador/entrada?acao=lista-empresas HTTP/1.1" 200 602
